,title,year,kind,rating,vote,runtime
0,Dinosaur Planet,2003,tv mini series,7.7,474.0,50
1,Character,2021,movie,8.3,46.0,125
2,Get Up and Dance!,1994,video movie,8.1,18.0,54
3,The Rise and Fall of El Chapo,2016,tv movie,6.9,42.0,85
5,8 Man,1992,movie,5.5,93.0,83
6,What the #$*! Do We (K)now!?,2004,movie,5.3,13432.0,109
7,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,movie,4.5,2177.0,96
8,The Fighter,2010,movie,7.8,351199.0,116
9,The Lord of the Rings: The Return of the King - Extended Edition,2019,episode,,,250
10,Antarctica: The End of Earth - Iceberg,1999,episode,,,0
11,Neil Diamond: Greatest Hits Live,1988,video movie,8.0,81.0,60
12,7 Seconds,2005,video movie,4.8,7153.0,96
13,By Dawn's Early Light,1990,tv movie,7.1,2898.0,100
14,Seeta Aur Geeta,1972,movie,6.8,1818.0,162
15,Strange Relations,2001,tv movie,7.6,768.0,120
16,Sesame Street Presents: The Street We Live On,2004,episode,7.2,67.0,55
17,Lilo and Stitch,2012,episode,7.2,22.0,4
18,Boycott,2001,tv movie,7.2,901.0,118
19,Meat Loaf: Bat Out of Hell,1999,episode,7.7,286.0,58
20,Aqua Teen Hunger Force,2000,tv series,7.6,23785.0,15
21,FernGully 2: The Magical Rescue,1998,video movie,4.6,1484.0,75
22,Lady Chatterley,1993,tv mini series,6.9,1605.0,205
23,Zatoichi's Conspiracy,1973,movie,7.1,911.0,88
24,Daydream Obsession,2003,video movie,2.8,120.0,87
25,Love Reinvented,1996,tv mini series,5.3,129.0,55
26,TerrorVision,1986,movie,5.7,6778.0,85
27,Silent Service,2016,movie,9.1,11.0,0
28,The Spitfire Grill,1996,movie,7.0,6850.0,117
29,The Complete Truth About De-Evolution,1993,video movie,8.3,102.0,90
30,The Weather Underground,2002,movie,7.5,3562.0,92
31,The Bonesetter,2003,video movie,1.6,210.0,72
32,We're Not Married,2012,movie,,,6
33,Carandiru,2003,movie,7.6,18930.0,145
34,DragonHeart,1996,movie,6.5,94804.0,103
35,Sex and the Beauties,2004,movie,4.8,166.0,101
36,The Libertine,2004,movie,6.3,35678.0,114
37,Ricky Martin: One Night Only,1999,tv movie,7.4,112.0,45
38,Barbarian Queen,1985,movie,4.1,2370.0,74
39,Vampire Journals,1997,video movie,5.5,1550.0,82
40,Invader ZIM,2001,tv series,8.3,20289.0,24
41,WWE Armageddon,2008,movie,7.5,133.0,180
42,Maya Lin: A Strong Clear Vision,1994,movie,7.4,481.0,105
43,"At Home Among Strangers, a Stranger Among His Own",1974,movie,7.5,2968.0,97
44,6ixtynin9,1999,movie,7.2,2040.0,118
45,Antarctica: Ice and Sky,2015,movie,6.9,549.0,89
46,Elfen Lied,2004,tv mini series,8.0,31414.0,24
47,Iron Monkey 2,1996,movie,4.7,726.0,92
48,Record of Lodoss War: Chronicles of the Heroic Knight,1998,tv series,7.5,636.0,25
49,WWE Royal Rumble 2017,2017,episode,,,0
50,ECW Cyberslam '99,1999,video movie,8.1,57.0,0
51,The Returned,2015,tv series,7.1,11688.0,42
52,G3 Live in Concert,1996,video movie,8.5,230.0,75
53,Dona Herlinda and Her Son,1985,movie,6.7,497.0,90
54,Inside the Space Station,2000,tv movie,6.6,76.0,0
55,No Reservations,2007,movie,6.3,72774.0,104
56,A Fishy Story,1989,movie,6.7,123.0,99
57,White Lotus Cult,1993,movie,6.1,47.0,96
58,Notre musique,2004,movie,6.9,2915.0,80
59,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,2004,video movie,8.9,148.0,160
60,L'oeil de Vichy,1993,movie,7.2,322.0,110
61,Bruce Lee: A Warrior's Journey,2000,video movie,8.0,3007.0,100
62,Dominion Tank Police,1988,tv mini series,6.9,1589.0,138
63,Murder Must Advertise,1973,tv mini series,8.1,293.0,0
64,Bear Cub,2004,movie,7.1,3586.0,100
65,Travel the World by Train: Africa,1999,video movie,,,60
66,Briar Patch,2002,movie,5.5,1397.0,103
67,Beyoncé: Live at Wembley,2004,video movie,7.6,84.0,150
68,Cube²: Hypercube,2002,movie,5.6,65498.0,94
69,Coldblooded,1995,movie,6.7,3692.0,92
70,Mr. Vampire,1985,movie,7.4,3772.0,96
71,DarkWolf,2003,video movie,2.7,1662.0,94
72,Arachnid,2001,movie,3.9,2853.0,95
73,Beyond Terror: Lucio Fulci,2017,video movie,,,115
74,GTO: Great Teacher Onizuka,1999,tv series,8.5,8010.0,24
75,The Cat and the Canary,1978,movie,5.6,1382.0,98
76,Star Trek Voyager: Phage - ECMO Won't be the Hot Cleanse of the Season,2019,episode,,,0
77,Goddess of Mercy,2003,movie,6.4,482.0,110
78,The Tricky Master,1999,movie,5.9,1534.0,91
79,Get Out Your Handkerchiefs,1978,movie,6.9,3746.0,108
80,Sleepover Nightmare,2005,video movie,3.6,299.0,81
81,Demon Warrior,1988,movie,4.0,140.0,85
82,White Knuckle Extreme: Higher Ground,2002,video movie,7.3,18.0,60
83,Gentlemen of Fortune,1971,movie,8.5,11015.0,88
84,Gormenghast,2000,tv mini series,7.3,2912.0,232
85,How to Irritate People,1969,episode,6.8,2063.0,68
86,One Last Dance,2003,movie,5.5,1491.0,101
87,Richard Pryor: Live on the Sunset Strip,1982,movie,7.7,4040.0,82
88,The Chorus,2004,movie,7.9,59473.0,97
89,Regular Guys,1996,movie,6.8,1433.0,102
90,Bollywood Bound,2002,movie,8.0,911.0,88
91,Scratch,2001,movie,7.8,2778.0,92
92,Moby: Play - The DVD,2001,video movie,8.0,259.0,166
93,X2: X-Men United,2003,movie,7.4,527257.0,134
94,The SoulTaker,2001,tv series,6.1,137.0,0
95,Marilyn Manson: Fear of a Satanic Planet,2005,movie,6.7,21.0,86
96,Chasing Freedom,2004,tv movie,6.5,398.0,88
97,Stepping Razor: Red X,1992,movie,7.7,140.0,103
98,Gupt,2016,episode,,,0
99,Ruby's Bucket of Blood,2001,tv movie,6.0,317.0,95
100,Sports Illustrated Swimsuit Issue,2019,episode,,,0
101,Venus Boyz,2002,movie,6.2,418.0,102
102,Bonus Material,2017,movie,,,2
103,Unconstitutional,2004,video movie,7.8,368.0,66
104,Denise Austin's Ultimate Fat Burner,2002,video movie,,,0
105,Sing a Song of Six Pants,1947,episode,,,0
106,Star Trek: Deep Space Nine,1993,tv series,8.0,56687.0,45
107,The Yinyang Master,2021,movie,6.5,2164.0,113
108,The Agronomist,2003,movie,7.3,956.0,90
109,Querelle,1982,movie,6.7,6270.0,108
110,Beauty and the Beast DVD Read-Along,2002,video movie,,,0
111,The Neon Bible,1995,movie,6.1,831.0,91
112,Winston Churchill: The Wilderness Years,1981,tv mini series,8.6,288.0,60
113,Space Odyssey: Voyage to the Planets,2004,tv movie,7.7,978.0,100
114,The Fabulous Making of Chappelle's Show Season 3ish,2006,video movie,,,20
115,Blood Will Out,1999,episode,7.4,794.0,100
116,"Henry: Portrait of a Serial Killer, Part 2",1996,movie,4.9,1001.0,84
117,Carol Burnett: Show Stoppers,2001,movie,8.1,164.0,60
118,Peter Gabriel: Growing Up Live,2003,video movie,8.7,371.0,133
119,Suddenly Psychic,1998,episode,,,0
120,Marooned in Iraq,2002,movie,7.4,1448.0,100
121,Sci-Fi Special Feature,2019,episode,,,116
122,Broken Blossoms,1919,movie,7.3,9947.0,90
123,The Song Remains the Same,1976,movie,7.7,8088.0,137
124,Winnie the Pooh: Springtime with Roo,2003,video movie,6.5,2068.0,65
125,Neon Genesis Evangelion: The End of Evangelion,1997,movie,8.1,46163.0,87
126,Stellvia,2003,tv series,6.4,128.0,0
127,Strangler's Wood,1999,episode,7.9,899.0,101
128,The Hunchback of Notre Dame 2: The Secret of the Bell,2002,video movie,4.7,6544.0,68
129,Mann - Soul's Heart,1999,movie,6.2,5245.0,160
130,Marat/Sade,1967,movie,7.5,2436.0,119
131,Angelina Ballerina,2001,tv series,5.8,416.0,0
132,Saudade do futuro,2021,movie,,,69
133,Saludos Amigos,1942,movie,6.1,6167.0,42
134,Female Yakuza Tale,1973,movie,6.5,826.0,86
135,Cold Harvest,1999,video movie,5.4,610.0,89
136,100 Days Before the Command,1991,movie,5.3,413.0,71
137,Micki + Maude,1984,movie,6.0,2925.0,118
138,Sarah Brightman in Concert,1998,movie,7.9,91.0,75
139,The Legend,1993,movie,7.2,7668.0,100
140,Blue Seed Beyond,1997,movie,6.2,67.0,100
141,If These Walls Could Talk,1996,tv movie,7.0,4208.0,97
142,Sasquatch Hunters,2005,video movie,3.3,502.0,88
143,Thunderbirds Are Go,2015,tv series,6.8,1579.0,22
144,Luther Vandross: Always and Forever,1994,movie,5.9,14.0,88
145,Saturday Night Live: The Best of Chris Kattan,2003,movie,7.2,202.0,76
146,"Harold and Kumar Go to White Castle: ""I didn't get pimped in my med school interviews""",2019,episode,,,0
147,Hell Mountain,1998,movie,3.8,271.0,94
148,Saturday Night Live: The Best of Gilda Radner,2005,video movie,7.6,134.0,92
149,Lennon Legend: The Very Best of John Lennon,2003,video movie,7.9,164.0,100
150,Oasis,2017,tv movie,8.1,5255.0,60
151,In His Life: The John Lennon Story,2000,tv movie,6.0,641.0,85
152,Option Zero,2016,tv movie,6.0,7.0,0
153,Hard Ground,2003,tv movie,5.7,399.0,93
154,The Isle,2018,movie,5.3,13501.0,96
155,Dangerous Liaisons,1988,movie,7.6,67057.0,119
156,Sesame Street: Sing Yourself Silly!,1990,video movie,7.2,21.0,30
157,Godsmack: Smack This!,2002,video movie,6.8,22.0,75
158,The Legend of the 7 Golden Vampires,1974,movie,5.9,4065.0,89
159,Leila,2019,tv series,4.8,8560.0,48
160,Saturday Night Live: The Best of Jon Lovitz,2005,movie,6.7,166.0,93
161,Mandela and de Klerk,1997,tv movie,7.0,594.0,114
162,Bent,2018,movie,5.2,6487.0,96
163,Cut and Run,1984,movie,5.7,2175.0,90
164,Ju-Rei: The Uncanny,2004,movie,5.1,470.0,76
165,Modern Vampires,1998,tv movie,4.5,1975.0,91
166,Ghosts of Rwanda,2004,episode,8.7,219.0,120
167,Storefront Hitchcock,1998,movie,6.6,305.0,77
168,Deftones Live in Hawaii,2001,episode,7.9,16.0,0
169,Three Smart Saps,1942,episode,,,0
170,The Rolling Stones Rock and Roll Circus,1996,movie,7.7,1960.0,65
171,Tremors 4: The Legend Begins,2004,video movie,5.3,12532.0,101
172,French and Saunders,1987,tv series,7.6,3221.0,30
173,Star Trek Voyager: Phage - ECMO Won't be the Hot Cleanse of the Season,2019,episode,,,0
174,Up and Down,2004,movie,6.9,1916.0,108
175,Bing feng qi xia,1990,movie,6.7,18.0,88
176,"Dr. Quinn, Medicine Woman",1993,tv series,6.8,10920.0,60
177,Afula Express,1997,movie,6.7,194.0,95
178,Hellhole Women,1981,movie,4.8,1038.0,102
179,The Sinful Nuns of Saint Valentine,1974,movie,4.7,641.0,93
180,The Absolutely Fabulous Show,2018,episode,,,22
